,temp(cel),mean_windspeed(km/hr),re_hum(%),cloud(okta),rain(mm),avg._no._rainyday,district,month_index
0,12.571663040191359,4.861222220751603,77.26709149645384,1.5251476688290833,14.375758947513674,0.9,Bhagalpur,1
1,16.876908297290345,4.658724250684859,76.00141559446152,1.749435577190804,13.976030727875397,0.9,Bhagalpur,1
2,15.775775965065737,3.5057281687282233,79.32182371900193,1.7136241386984805,12.331612852591684,0.9,Bhagalpur,1
3,12.903225577727444,3.1965451808067433,79.32364913699861,1.5917611426513818,12.337609606205605,0.9,Bhagalpur,1
4,16.82975364250497,4.926398728439303,78.57296494423088,1.4696959899757915,12.780348507731615,0.9,Bhagalpur,1
5,15.932314426608311,3.976784621495524,77.168356891242,1.6037392524243466,12.416093314723666,0.9,Bhagalpur,1
6,17.060992856775787,3.0578140652595485,77.47617220683456,1.7310646661563174,15.242633798675449,0.9,Bhagalpur,1
7,14.673443241982707,3.9834331038994875,79.23325683079278,1.6413466508635786,14.445544948113126,0.9,Bhagalpur,1
8,14.254351134935991,4.407133902204698,77.70357392768014,1.7478066337588816,14.690575853323283,0.9,Bhagalpur,1
9,15.080848083176758,4.395614267503905,78.41641908539268,1.5852017040637696,11.579317916029979,0.9,Bhagalpur,1
10,11.988814346146002,3.3530383855823134,76.79441384222598,1.54340707699441,11.696751439763185,0.9,Bhagalpur,1
11,17.225768482074315,4.518082443767895,76.3413660663373,1.7297971986830918,11.40064357463914,0.9,Bhagalpur,1
12,15.661822411596084,4.436825243155755,76.67094754800058,1.4358922327798564,13.13709787899261,0.9,Bhagalpur,1
13,17.410052988801233,4.315337619331055,76.67908435079197,1.5795638307572049,12.145125961488953,0.9,Bhagalpur,1
14,12.454913289074392,3.730248028828018,78.48064765708318,1.4612066310741336,13.152101533043428,0.9,Bhagalpur,1
15,21.594088343060417,3.1820473186482316,79.92424130226695,1.6981768597891094,11.53285149906748,0.9,Bhagalpur,1
16,23.66155060657897,4.507703979150833,79.76119461149479,1.7702522305764798,15.049357391271702,0.9,Bhagalpur,1
17,22.076665710961027,3.559784910405118,77.37492557181199,1.728083640316996,14.726226510198984,0.9,Bhagalpur,1
18,23.826390136102663,4.2391773228004155,78.24014252262026,1.485126508949806,12.45927357361823,0.9,Bhagalpur,1
19,20.866995173336658,3.5631178748306516,79.05102728335598,1.5708946959794674,12.209697511230123,0.9,Bhagalpur,1
20,21.677146243719065,3.272187287080814,79.54357653214285,1.657559477137827,12.35396920716867,0.9,Bhagalpur,1
21,21.849302685886567,3.103965113906119,77.1193997715831,1.7072316870677349,13.780853811233476,0.9,Bhagalpur,1
22,22.491398291073356,3.3700019923414235,78.73335086322834,1.5593811174534613,15.151605375450954,0.9,Bhagalpur,1
23,23.9549622525454,4.81346153721231,79.9598152562446,1.6692812520663796,12.665402623150309,0.9,Bhagalpur,1
24,18.845912624082096,3.7610151986566107,77.77020111134581,1.687128215694159,15.165123514734598,0.9,Bhagalpur,1
25,22.16870698652062,3.737249642390103,78.29334782088496,1.7645928136085014,14.214479512392774,0.9,Bhagalpur,1
26,20.81517985777159,4.541598320614564,78.48840973637121,1.6974204270338853,13.20001951836566,0.9,Bhagalpur,1
27,18.886770066134996,3.0030228078770005,78.14686586559715,1.4050985730465226,14.144618475632972,0.9,Bhagalpur,1
28,22.165729917051305,3.8272454819949284,76.89137236714498,1.4828354316961463,15.274395796438416,0.9,Bhagalpur,1
29,19.57012293619819,3.879782856626929,77.49948236056387,1.6541773019349721,15.17002733352897,0.9,Bhagalpur,1
30,20.661985592127216,4.215677898987733,76.25729106670647,1.7093538618476622,13.666144570031792,0.9,Bhagalpur,1
31,11.013275592829862,2.6346489260116197,80.0902533348371,1.124602902104139,15.174037374274706,1.2,chapra,1
32,14.162434082302122,2.1885433362252216,78.8391741524879,1.1512945825368126,15.649813700789226,1.2,chapra,1
33,15.52573929773571,3.12449629379499,77.05187960572015,1.116957353326669,17.733170418180915,1.2,chapra,1
34,16.314762931827268,2.3114337525332913,79.35598967913413,1.0953114472528773,15.111541336921464,1.2,chapra,1
35,15.229725678261808,2.880746601723912,77.10029010652357,0.9376607948868345,15.007364240984293,1.2,chapra,1
36,14.683707795048491,2.2939392003202492,79.70201014373488,1.25693703665672,18.985597043986537,1.2,chapra,1
37,10.70775913006919,3.465115051089545,77.43353981411582,0.9133661833253259,16.007037731887927,1.2,chapra,1
38,13.53095217377081,2.627961256017283,77.18822048468982,1.0853854277603092,18.279933176696282,1.2,chapra,1
39,13.430361523336057,3.1963361428028385,80.81845085262104,0.9016282819650854,18.01878856049395,1.2,chapra,1
40,11.983527817964926,2.235561890456613,78.80767305394096,1.1884413736843538,15.538208295199622,1.2,chapra,1
41,15.490470636674832,3.649242641127958,78.7682119561365,0.9473364701024516,16.666431051082483,1.2,chapra,1
42,14.030517375656995,2.7802932094968726,77.99599245784323,1.0414760306606365,16.327199355553123,1.2,chapra,1
43,10.888983344224508,3.7925483645672733,77.00839259383159,1.2469722876008018,17.804631044709787,1.2,chapra,1
44,13.118673448351476,3.271866905035238,77.28776254926308,0.9082493568845477,16.25507118983621,1.2,chapra,1
45,14.911693216029876,3.7549092559500044,78.40362282462667,1.055081484955729,16.650481376614948,1.2,chapra,1
46,22.13390601809155,3.471154940455537,79.43493567119143,0.9421779706245981,15.453815826542943,1.2,chapra,1
47,19.322023845179128,1.8293278215500723,78.55904626463905,1.262305634272344,18.666704417010134,1.2,chapra,1
48,18.499841723142296,2.6193162358325646,79.4158114979523,0.9044279863549367,18.955004876188948,1.2,chapra,1
49,19.425039517536618,2.16100164568415,77.93856176744704,1.1044752517358074,18.76162815832382,1.2,chapra,1
50,22.153397775042855,3.6752553191881927,77.96693849321227,1.0700021198772962,17.535661802755783,1.2,chapra,1
51,21.452493971551057,2.0312231414713464,77.5474873494359,1.2938828492347803,16.73109530684597,1.2,chapra,1
52,20.52197001467858,2.081310508307377,78.48245013177188,1.2350410990648708,15.85888761143989,1.2,chapra,1
53,21.56277646239386,2.4826753260854315,80.91353488862357,1.1789178313770894,17.919442380864997,1.2,chapra,1
54,20.6550062419824,2.9959387148564502,78.55932603424523,0.9709856361333509,18.910695275728134,1.2,chapra,1
55,18.03095723418904,3.4234777872637334,78.20470790540206,0.972157376861748,18.24438803519835,1.2,chapra,1
56,20.927301594507078,2.3800095355645254,78.58830091062465,1.1959118831602216,16.8443067656732,1.2,chapra,1
57,21.80210526629646,3.0246963831957547,79.50114416588818,1.1653821470883234,18.90388237931411,1.2,chapra,1
58,17.06457181081836,3.773053228074843,77.2926179306141,0.9873973472979086,18.793126731425907,1.2,chapra,1
59,21.36041643589818,2.6862270883780717,79.58787516627713,1.0022661977228673,18.18907610761245,1.2,chapra,1
